id	name_fr	name_en
07b26aa4-7250-4867-adb5-50fe13af9418	Crunch lesté	Weighted Crunch
b975ddda-7287-428f-9f5b-7dc86d0f19e2	Crunch lévitation	Levitation Crunch
cbd7ede6-92c5-4d0f-838f-ad41832bad98	Crunchs	Crunches
f6ccb851-3bc5-46ff-9b8c-7c610a29f7c8	Crunchs avec haltère	Dumbbell Crunches
75fccdf4-363f-4ef7-bb93-77b6383c7b88	Crunchs ballon lesté en livre	Medicine ball booklet crunch
b21dff65-f77f-4a8d-bee1-89dffa8e5733	Crunchs bicyclette	bicycle crunches
86d0a337-67fc-4641-ac39-4d18a18bf97d	Crunchs inclinés	Incline Crunches
8d36ea4c-f433-4c33-86d6-d49bbd59ba74	Crunchs jambes levées	Crunches With Legs Up
1b151201-75b0-433b-83c6-8b455e1899ee	Crunchs latéraux debout	Standing Side Crunches
b914cdfe-87c5-4e0a-b188-2d36cca1de24	Crunchs négatifs	Negative Crunches
e677806a-1c84-4071-8882-6aad47b29693	Curl allongé haltères	Lying Dumbbell Curls
0244d247-1c00-4a1f-9e87-f8e418b7864c	Curl assis haltères	Seated Dumbbell Curls
a20e6d23-7581-409b-9659-c8ef44f9eb95	Curl au pupitre	Preacher Curls
e2a78372-143e-4944-b2a2-a7557b668dbd	Curl au pupitre un bras	Single-arm Preacher Curl
2330adae-1fcb-429c-85cd-8d63cb5dca6a	Curl barre droite poulie	Straight Bar Cable Curls
f43ddffa-67c9-4f63-8b73-beb6709d7e14	Curl bayésien	Bayesian Curl
4ebf768c-b17d-493e-9e14-ccb4c0ef0baa	Curl biceps alterné haltères	Alternating Biceps Curls With Dumbbell
f3d9602a-856a-46f7-92e9-a9824ec6d9dd	Curl biceps barre EZ	Biceps Curls With SZ-bar
96598721-84fd-4ec7-983c-5fe11697eb8a	Curl biceps debout	Standing Bicep Curl
747d5b1f-7549-4f01-adf0-854bf6b433d3	Curl biceps gorilla TRX	TRX gorilla biceps curl
192cea75-fa8a-470f-bca5-43690d218a29	Curl biceps haltères	Biceps Curls With Dumbbell
103758a2-3381-40fd-98d5-5a53d093ce04	Curl biceps machine	Biceps Curl Machine
2c94a5b7-0165-47e2-94d6-f8c333fd355a	Curl biceps poids de corps	Bodyweight Biceps Curl
395c37fc-deb3-4b64-bf71-95e7892ca8cd	Curl biceps poulie	Biceps Curl With Cable
dab9e7ee-ff86-4f8b-9974-382748953cc1	Curl biceps prise large haltères	Dumbbell wide bicep curls
a749668d-4dc3-4b24-ae90-a562d9b50a38	Curl biceps puis press haltère	Dumbbell bicep curl to press
7ddc2670-c683-45bc-8b93-f82b02652d35	Curl biceps trifecta	Bizeps Curls Trifecta
20a2084e-672f-4509-a6db-92e9581a5495	Curl biceps TRX	Biceps with TRX
cdc3274a-2222-416d-be7a-913b722afd5f	Curl concentration haltère	Concentration Curl
f5dbb716-7807-44b2-9202-d8403877f1a8	Curl concentration poulie	Cable Concentration Curl
20788488-2e32-4553-b513-912b415db531	Curl drag haltères	Dumbbell drag curls
af871dc5-58d7-48ed-a1b0-0947b77ff1d9	Curl en W assis	Seated W Curl
508681fb-9344-4d40-9acd-759ada7100ea	Curl épaule élevée	Curl  - With Shoulder Elevated
6619bc4d-68e4-46d0-8128-f6b8e69148d7	Curl inversé	Reverse Curl
35b8ffa7-8437-4839-a401-ce57b7ce8d32	Curl inversé barre	Reverse Bar Curl
2c4a3818-afab-4787-abe8-decebab9e7bf	Curl inversé barre EZ poulie	Reverse EZ Bar Cable Curls
685b3112-11b1-44eb-8367-2564e42cef45	Curl kettlebell deux mains	Curl with kettlebell two hands
d38742a8-6822-48cd-af7d-79331293b086	Curl kettlebell un bras	one-handed kettlebell curls
01b68090-4bfe-4f29-8d67-6feaef34b3ba	Curl marteau	Hammer Curls
07a985c2-c0c8-4cf7-af47-66aa3df704a4	Curl marteau alterné haltères	Alternating dumbbell hammer curl
5debddb1-24da-40bc-bee4-b7f9a4c2383e	Curl marteau croisé haltères	DB Cross Body Hammer Curls
9ffb7f1e-3e2c-4390-91e1-060d523e8a52	Curl marteau poulie	Hammercurls on Cable
306bb30d-557b-4333-bd4d-bc63d4374dea	Curl marteau TRX	TRX hammer curl
35212a65-4c10-477b-b6f3-09f37b1c72af	Curl nordique	Nordic Curl
b6f7dbfc-f0c0-4ec4-83bf-d0a73c9170d5	Curl nordique inversé	Reverse Nordic Curl
e2f06797-3c62-445a-9bc3-3bb8e5ddaa6b	Curl poignets barre	Barbell Wrist Curl
e6fa9992-6e75-4044-ab22-77b00925a90c	Curl poulie basse	Cable Curls
7eb1cf33-5f89-4821-8af4-9ff349da6b47	Curl spider	Spider Curl
16688fab-a9e4-4b50-bd06-9a91798fddab	Curl triche haltères	Dumbbell Cheat Curl
8823833e-a1a5-4fb3-9144-6a3a092cd7f8	Curl Zottman	Zottman curl
3f300c2f-78ed-4d23-97d0-78b384cf61a2	Curls biceps inclinés	Dumbbell Incline Curl
e2a085d5-ef81-4006-9754-df82ffc0e74c	Curls stricts barre	Biceps Curls With Barbell
e8df5da4-783d-40fa-ba8f-b23af6bdbb3e	Développé assis	Seated Bench Press
d2067c5a-675f-4a28-9009-bac34bed635c	Développé au sol haltères	Dumbbell Floor Press
dbfb1939-bdcb-4d25-873c-f4f03c6b44f2	Développé couché	Bench Press
65b3619c-037b-4374-8791-84faa2484761	Développé couché haltères	Benchpress Dumbbells
cbbcb7f2-ec62-4b8c-9f39-0e0e84572c88	Développé couché haltères coudes rentrés	Elbows Tucked DB Bench Press
30af61a7-a740-4142-8d6b-330b34ac2fe4	Développé couché prise inversée	Reverse Grip Bench Press
9e5e840a-f13e-42d2-a90e-5647f052f37c	Développé couché prise serrée	Bench Press Narrow Grip
e425cae9-0c5c-4edc-9cfe-62c832e9a48a	Développé couché prise serrée haltères	Dumbbell close grip bench press
973484bd-6209-4564-a473-c5e45adaf7e8	Développé couché prise supination haltères	DB Underhand bench press
72a2635a-88b6-4979-b43a-98e907602200	Développé décliné barre	Decline Bench Press Barbell
e9d79779-fc61-4cc0-a155-7f7a875ca60f	Développé décliné haltères	Decline Bench Press Dumbbell
3723ce9c-62a3-4bf0-9b49-14aaa73e6e46	Développé épaules barre	Shoulder Press, Barbell
9184ae99-3f50-4283-90f8-fdd2f7d73e97	Développé épaules haltères	Shoulder Press, Dumbbells
946e046d-1bc9-4ec5-9dd7-627bd2726386	Développé épaules incliné	Incline Shoulder Press Up
d3e8c53a-b63d-4f04-842a-2e21a0230c97	Développé épaules machine	Shoulder Press, on Machine
b9fd338b-370a-4e60-99f0-6d4550be8c37	Développé épaules multi press	Shoulder Press, on Multi Press
ac06e835-9bde-4cdc-9109-b123dc154ee5	Développé haut des pectoraux haltères	DB Upper Chest Variation
3567a432-06ed-4b2b-8a3f-a2ebf389a3d7	Développé incliné aux haltères	Incline Bench Press - MP
d0c49636-6b4f-43f8-b884-f77ea3804f4e	Développé incliné haltères	Incline Dumbbell Bench Press
dda131cc-ffd7-4152-a693-e24dd9b0bc79	Développé incliné prise serrée barre	Incline Close Grip Barbell Bench Press
86227f21-cc62-4c27-a64e-468546a6a276	Développé militaire	Overhead Press
a9cc0d12-1209-42b9-b031-75b47e442e9e	Développé pectoraux haltères	Dumbbell Chest Press
d3e7b8a6-54d6-430f-a3b2-341842001566	Développé pectoraux haltères sans drive jambes	No Leg Drive Dumbbell Chest Press
18064a63-25c1-48de-99c8-51ef19b31252	Développé pectoraux machine	Chest Press
2f9917f5-d62f-489c-abb9-8e98d0855adc	Développé pectoraux machine à levier	Leverage Machine Chest Press
703929c6-5cba-40e0-95f9-f69f6bd05ffe	Développé pectoraux poulie décliné	Cable Chest Press - Decline
938f121a-746a-45c0-aa61-605958094462	Développé pectoraux poulie incliné	Cable Chest Press - Incline
ae78fc17-c031-45e6-81f8-b779a63cd465	Développé supination	Supine press
8fcf9793-8f4e-424f-baf8-8ec084ae054e	Devil's press	Devil’s Press
be9f1837-7f35-4258-84e0-cc89bad03aab	Dips	Dips
b64da973-0826-4f79-b420-6372e3bc0387	Dips aux anneaux	Ring Dips
b2a2246c-aa14-4a30-801f-70fb3f1f8203	Dips entre deux bancs	Dips Between Two Benches
ecf8d831-de7b-4519-82aa-a60984900c67	Dips sur banc au sol	Bench Dips On Floor HD
0c44dbd6-7f7c-4a36-b253-06193b6aeb34	Dips triceps assistés	Triceps Dips (Assisted)
ab31cf76-8d4d-4a29-9e0b-d1caf93ceec1	Dips TRX	TRX dips
1d908c58-ea89-4760-b1e1-d648677b2bef	Dont le câble	Fly With Cable
64f8124b-81a3-41ed-bc4b-1bac7f28dd22	Drag pushdown	Drag Pushdown
882ad5c6-28ad-4bb9-9c1c-1f951b58bd3e	Dragon flag	Dragon-flag
e818ae8d-a414-458e-bb1a-218e66c8cde5	Drop curl	Drop Curl
4c5f32b3-941a-43da-994b-2e705bb37fd9	Dumbbel bradford press	Dumbbel Bradford press
955fd639-d306-4eb4-b450-9604266bbfee	Dumbell tate press	Dumbell Tate Press
c2acc933-3db1-49d7-b2e2-0e8588542655	Écarté arrière poulie	Cable Rear Delt Fly
e0ec17cd-706e-4cba-8180-91422b79b541	Écarté élastique avec rotation externe	Band pull-apart with external rotation
23328e5a-d3ed-4b6e-89d8-2f4008da6241	Écarté haltères	Fly With Dumbbells
e1c63e86-1c67-4a1c-ab98-15a0d5faa9b8	Écarté haltères banc décliné	Fly With Dumbbells, Decline Bench
604da38b-8eca-4fa8-b408-d714cff5f3f5	Écarté incliné haltères	Incline Dumbbell Fly
0e88e8ec-bdfe-4b5a-891e-a0318cd772ac	Écarté inversé banc incliné	Incline Bench Reverse Fly - Hello
1fec5cba-0e34-4c1f-bb45-14a8df1aa693	Écarté inversé debout	Reverse Fly Standing
dc79f358-f4ea-42c5-b300-ca15a06221df	Écarté inversé poulie	Reverse Cable Flye
a36ebe8b-d10e-4782-9441-45f8dc7d6ddb	Écarté pectoraux machine	Machine chest fly
a92cfa1e-21fd-425e-bc09-48d32b476ef6	Écarté poulie bas des pectoraux	Cable Fly Lower Chest
a7a4aad3-42eb-4eaf-9084-06326d8bbf8f	Écarté poulie haut des pectoraux	Cable Fly Upper Chest
176048dc-f461-40d0-8ce2-6de1c5ee24b2	Écarté poulie milieu des pectoraux	Cable Fly Middle Chest
26c48b5c-cd03-4dd0-a3ae-abed1a58de14	Écarté poulie penché	Bent over Cable Flye
84b0562d-b5e0-4940-bbd8-b8617f2c0dce	Écarté poulie vis-à-vis	Cable Fly
06aee474-b041-4edd-aeee-be0c7d8f4ea4	Élévation bras et jambe à quatre pattes	Quadriped Arm and Leg Raise
77547824-983a-4696-b608-5572b683621f	Élévation de schoulder (haltère)	Schoulder Raise (Dumbbell)
3e644b8a-9f0d-42d0-90c5-5a427d9ab2e9	Élévation deltoïde post. sur banc	Chest-Supported Rear Delt Raise
5899c6fd-2699-49f7-b6b3-ce3224e97e41	Élévation deltoïde postérieur	Rear Delt Raise
809a050e-239c-440c-91a2-6e4cfb4e9cfe	Élévation deltoïde postérieur assis	Seated rear delt rise
a9951fa8-bb98-411f-a0c1-a01eb2ca67e7	Élévation en Y incliné haltères	Incline DB Y-Raise
2d7a1bb1-35aa-43d9-957c-dd031510ab60	Élévation en Y poulie croisée	Cross-Body Cable Y-Raise
28401d75-a1f8-4f73-ac6f-1ef765e6e535	Élévation frontale avec disque	Front Plate Raise
bb0806ab-87ad-4c21-b679-10dd9e2a160b	Élévation frontale barre droite poulie	Straight Bar Cable Front Raise
89a8146f-08bb-4f0f-936d-92e8895033d2	Élévation frontale poulie petite barre	Cable Front Raise with a small bar
668165d1-eb49-4147-8208-b7b90f13028c	Élévation latérale assis haltères	Seated Dumbbell Side Lateral
bf3f4c4b-e74b-4d75-bb66-18499a8c8cdd	Élévation latérale et frontale haltères	Shoulder Raise Side and Front DB
8c57a2f0-6cc6-4ef4-b628-bb32f4c517fe	Élévation latérale machine	Machine lateral wise
ce6a9bd0-6ece-41c7-b48e-840ae8874e8d	Élévation latérale poulie	Side Lateral Raise (Cable)
1c2a8eec-caed-4d8b-a883-23e79b36f7cd	Élévation latérale poulie arrière	Side lateral raise - Back (Cable)
f6363b80-f7bd-4d7d-ba5f-52a39ca0c6ee	Élévation latérale poulie avant	Side lateral raise - Front (Cable)
5c43630f-7903-4f3d-b07b-f310579289eb	Élévation latérale poulie derrière le dos	Behind the Back Cable Lateral Raise
bf9e6034-f98b-4e4b-a82a-8d7c58ea8a72	Élévation latérale poulie haute	High-Cable Lateral Raise
b04bc576-fca1-4246-9c34-642293271375	Élévation latérale poulie un bras	Cable Lateral Raises (Single Arm)
bef3b7ca-9ea6-4f10-a4d1-f8cf2b47cd2c	Élévation mollet machine	Standing Calf Raises
79107825-0545-4756-9c2d-7fe99379e60a	Élévation mollets assis	Sitting Calf Raises
ac03b011-bce0-4469-8d73-5e358e56ab55	Élévation mollets assis haltère	Seated Dumbbell Calf Raise
8914f648-3957-4c1e-8ce6-49b8caf4c0e4	Élévation mollets deux jambes	Double Leg Calf Raise
cab62115-ccde-4b82-b712-08d0b1c29835	Élévation mollets jambe gauche	Calf raises, left leg
2bbcdff1-3816-41f4-9789-6bbd5041273c	Élévation mollets machine hack squat	Calf Raise using Hack Squat Machine
a7b931b2-ea9c-48d1-8d1c-fd0592af9666	Élévation mollets unipodal	Calf raises, one legged
db2f34e8-c650-41d6-bbad-17fc8fb9a642	Élévation trap-3	Trap-3 Raise
f3c58800-e070-4f96-9e98-8323887f3f2f	Élévations bras (T/Y/I)	Arm Raises (T/Y/I)
dfde3ec7-e3b1-46a9-aca7-44cf77a92055	Élévations frontales	Front Raises
9b081a7d-428f-4719-a05a-52bd711adaec	Élévations frontales avec disques	Front Raises with Plates
0dd7b758-82cc-40af-b001-cfd8b0d02862	Élévations latérales	Lateral Raises
c138b108-10af-4d83-9efc-fb1729937068	Élévations latérales-frontales	Lateral-to-Front Raises
f264dda3-22d6-473b-b550-957ed6c6d505	Emporte-pièce	punches
ddc04d70-3b79-481b-b812-7109c8893b67	Entraînement au sac	Bag training
e6adb466-0ba6-41f8-8e45-198129d0a13e	Épaulé	Clean
ba138735-6621-4298-8d13-b4c69f4b7177	Épaulé développé	Clean and Press
ef86a533-e048-4a23-9213-b7f71ae88532	Épaulé développé double kettlebell	Double Kettlebell Clean and Press
31d91617-1f7e-4b89-a707-ee000395f86e	Épaulé puissance	Power Clean
2b966da7-ff3e-4ccd-aff4-559c197e217f	Épaulé-jeté	Clean and Jerk OL
037142e8-f781-4fc3-abc7-4092d7f3865e	Essuie-glaces	Windshield Wipers
b08b3f6f-2963-4324-a681-2d8d03ba51c0	Essuie-glaces isométriques	Isometric Wipers
e60bd02b-ed31-4893-91bc-1b6cc442ff2d	Estiramiento de brazos Y cuello	Estiramiento de brazos y cuello
a14406ad-5466-40ef-b581-6f64fb13c867	Estiramiento de piernas Y cadera	Estiramiento de piernas y cadera
c4857f5a-d91c-4176-91c8-4b1c220a71bc	Étirement biceps debout droit	Standing biceps stretch right
d3442838-0cef-4355-a026-582cb57bfc62	Étirement biceps debout gauche	Standing biceps stretch left
476fee98-fc95-42f2-a227-a92bf05c15b0	Étirement bloc boucher	Butchers Block Stretch
0204c506-6625-40bc-ac8d-4a47bd40e025	Étirement bretzel	Bretzel stretch
fc4b3df7-4bd5-493b-8b5d-f6ac51d53318	Étirement cobra	Cobra Stretch
f74a1afc-c5c2-44cc-88b9-f260e41046a8	Étirement deltoïdes	Delt Stretch
154148fb-1f16-4813-9566-ff248bf55d9c	Étirement du dormeur	Sleeper Stretch
6632afdc-75ba-4381-a371-813f40d39f27	Étirement du mollet assis (dorsiflexion)	Sitting Calf Stretch (Dorsiflexion)
1bb681ed-6898-41c1-9edf-559a3b15610c	Étirement extension épaule assis	Seated Shoulder Extension Stretch
d7d8a8aa-d12e-4e12-b498-d89da54a8d71	Étirement flexion horizontale épaule	Horizontal Shoulder Flexion Stretch
83b0f70d-a3ad-4e9a-ac38-f5703f531e20	Étirement grenouille	Frog Stretch
411d4e71-7d4b-41dd-88a2-0d39ffc9c327	Étirement ischio-jambiers croisé	Crossbody Hamstring Stretch
8d94862b-e6d2-4d4d-94e3-6dd42bebac50	Étirement ischio-jambiers unipodal	Single Leg Hamstring Stretch
82be6b7b-4b72-47fc-ad16-9ffb632e4e82	Étirement mollets debout	Standing Calf Stretch
107af4a8-71ec-4843-9bac-97461151f622	Étirement pectoral porte	Doorway Pectoral Stretch
3ddd7731-c0b6-4f3c-a8e1-6a19c7280deb	Étirement prière élevé	Elevated prayer stretch
6278101f-03d8-4b2e-9fb4-35b0a79ec5f6	Étirement rotation du torse	Torso rotation strech
8ab29b99-a8b1-40a7-8a89-8863359c838f	Étirement rotation externe	External Rotation Stretch
c1b32066-61c1-405e-9e19-60cc04bd8332	Étirement soléaire debout	Standing Soleus Stretch
34a09ab0-481d-4d4a-983a-1bc566c0b71b	Étirement triceps droit	Triceps stretch right
e817bd24-e088-4d34-a24c-6af8c8ace41f	Étirement triceps gauche	Triceps stretch left
27e7d300-6146-488f-bbc8-1f70a0e9d8fa	Exercice de yoga : cow-cat	Yoga exercise: Cow-cat
ce10bc22-4063-4ae1-9ddc-ed4a03df74f7	Exercice latéral :	Side Crunch
f2e92b20-e1f1-4c97-b44e-04308b409926	Exercice pendulaire épaule haltère	Shoulder Dumbbell Pendular Exercise
90cd2fb5-8878-44d0-9815-efb12b64ab90	Exercice ytwl	YTWL Exercise
660022fe-5d3c-4b5d-8c9f-0b47c3448435	Exercices épaules élastique	Banded Shoulder Drills
38751d34-f095-4fbf-bacd-f969200337be	Extension de jambe machine	Leg Extension
478a1f74-f208-418e-9af0-f3c91067dc99	Extension de jambe unilatérale	Single Leg Extension
9fa6861a-191b-4761-92d4-b4ca24d2d9a7	Extension de jambes	Leg Extension
7b58d665-731a-454c-9d4b-bded5e3c2651	Extension du dos	Back extensión
0471c66d-4be1-48dd-8d7c-b984867a0fef	Extension du dos machine	Hyperextensions
7c590392-d7af-4775-b5c8-30f7c5bdec10	Extension mollet machine	Seated Calf Raise
4d485428-d3e0-40bc-87b3-b510183fc29e	Extension nuque	Kneck extension
f366452b-5c55-42f0-935a-56bfe4c37d0b	Extension triceps allongé	Lying Triceps Extensions
6598b84c-9e8a-4b48-af0a-4ef557ddcae7	Extension triceps au-dessus	Overhead Triceps Extension
b3f1f205-2530-4c5a-bdff-f1504811df7d	Extension triceps au-dessus haltère	Triceps Overhead (Dumbbell)
8bbfe283-aa44-47e6-a5bf-9c50b4c511d2	Extension triceps au-dessus poulie	Overhead Cable Tricep Extension
a5e90848-1e26-41e7-8e1c-877f3898a0be	Extension triceps barre	Barbell Triceps Extension
853a6460-f4f4-4195-8ec5-73ef823ba437	Extension triceps corde	Tricep Rope Pushdowns
4e4f45d3-cc99-4e7e-a38b-eab941c56ae0	Extension triceps croisée poulie haute (NB)	High-Cable Cross Tricep Extention - NB
431c4117-b71a-49f6-93db-e53e8aeee25e	Extension triceps haltère	Dumbbell Triceps Extension
c20507ea-137a-4c99-af7d-95c5b33fa210	Extension triceps machine	Triceps on Machine
9e313848-2084-43ec-8267-ef0e8cc0ae27	Extension triceps poulie barre	Triceps Extensions on Cable With Bar
c71fe6c3-5b81-4ffb-9af5-ed2a5fde4f59	Extension triceps poulie bascule	Rocking Triceps Pushdown
d86d5c01-d8bb-499a-9502-3f07235a0823	Extension triceps poulie basse à un bras	One Arm Overhead Cable Tricep Extension
1dfefce0-b206-41f9-97a5-59a7d3719238	Extension triceps poulie haute	Tricep Pushdown on Cable
28d44421-c1be-4811-b33b-75603041c79e	Extension triceps poulie rotation externe	Cable Tri Extension - External Rotation
210afec5-d1dd-4bfc-8ae1-bde82e6703b6	Extension triceps poulie rotation interne	Cable Tri Extension - Internal Rotation
f14bbf4d-a476-41a2-966f-ec87cbade9ba	Extension triceps TRX	TRX Tricep Extension
8847dd79-7f44-42e8-8daa-18fca1a91273	Face pull	Facepull
7dd7b534-7f47-4b24-a036-cac6c2dc3e05	Face pull élastique jaune/vert	Face pulls with yellow/green band
7c249ca3-8c8f-4caa-a25d-a376ccbe55ee	Face pull penché haltères	Dumbbell Bent Over Face Pull
288b9b85-c912-40cf-9ba0-cd02f4d42efd	Fente à une jambe avec kettlebell :	Single-Leg Lunge with Kettlebell:
0e944828-4e82-4b62-ab70-566d2b47b5d0	Fente arrière haltères	Dumbbell Rear Lunge
710cccdf-a4af-43d2-99fc-7f60445a5f73	Fente latérale glissée	Sliding Lateral Lunge
6f3e803e-33fd-4a0f-857d-89589d8effa5	Fentes arrière alternées	Alternate back lunges
7297824b-af55-40b5-b7bf-dc791e8c8538	Fentes arrière barre	Barbell Step Back Lunge
63e579c0-f24f-448d-9230-9f9e40043dc7	Fentes barre debout	Barbell Lunges Standing
b894168e-bf16-483c-80a8-157ee23aaa46	Fentes debout haltères	Dumbbell Lunges Standing
5ef35b38-1918-49ce-901c-0ff777988386	Fentes marchées	Walking Lunges
4b71d405-8811-47d7-96fe-c0b32d06d23e	Fentes marchées haltères	Dumbbell Lunges Walking
7125a47c-1672-4947-96d7-1f9d78770d10	Fentes poids de corps	Bodyweight lunge HD
479b9b58-8316-47d8-858b-2823fe1342cc	Fentes unilatérales	Unilateral Lunges
5867393f-26ec-4680-90a4-63775290aa82	Figure assise quatre	seated figure four
9e72e748-00c3-4c13-ae7c-57697fade813	Flexion latérale avec haltère	Dumbbell Side Bend
c4b3c305-d722-4639-bf2d-dec3ebf23f71	Flexion latérale tronc haltère	Side Dumbbell Trunk Flexion
735d048e-0531-404d-8ee3-4ac7195821da	Flexions latérales machine	Side Bends on Machine
2bb368d1-22fd-4826-b969-1854fabbbb50	Flutter kicks	Flutter Kicks
d4da740a-9c7c-4805-8a02-cde9353a6c26	Frog stand	Frog stand
fb0a92e1-b565-41e0-8e3f-3c7b39210500	Front lever	Front Lever
c695423c-0bc9-4fdc-b12d-64866350f6a7	Front lever tuck	Front lever tuck
950b5e68-480d-4b1e-87e5-d387b03621ff	Gainage abdominal	Abdominal Stabilization
359f9a34-2192-4012-954c-d9e005414aa6	Gainage incliné toucher sol alterné	Incline Plank With Alternate Floor Touch
589621aa-ec35-48aa-a3e4-e99e42822a5d	Gainage planche	Plank
73586729-769f-4f4b-8a1f-19b917ac7969	Gainage planche chat	Cat Plank
47a02f01-e230-47de-b4dc-5d9f1a80eec4	Gainage planche extension coude	Plank-to-Elbow Extension
d4d91119-10c8-4979-ab20-62b7af4377dc	Gainage planche frontale	Front Plank
b50fca84-35eb-4a5a-bd5f-b96f1ab239fc	Gainage planche jumping jacks	Plank Jacks
e0cf259b-9955-42df-beeb-b857b06d6fa9	Gainage planche latérale	Side Plank
82cedffa-99f2-451f-baa1-de372c4e2885	Gainage planche levé de jambe alterné	Plank with Alternating Leg Lift
96ef27ca-92e3-4527-bc07-f5aa2f699b13	Gainage planche toucher épaules	Plank Shoulter Taps
65da152d-84ad-4154-a956-e50bf81c44fc	Glissements de genoux black widow	Black Widow Knee Slides
